,timestamp_year,timestamp_month,timestamp_day,total_irradiance
580,1981,8,4,1367.152
581,1981,8,5,1367.201
582,1981,8,6,1367.1129999999998
583,1981,8,7,1366.9370000000001
584,1981,8,8,1366.719
585,1981,8,9,1366.747
586,1981,8,10,1367.1170000000002
587,1981,8,11,1367.0639999999999
588,1981,8,12,1367.905
589,1981,8,13,1368.4289999999999
590,1981,8,14,1368.524
591,1981,8,15,1367.9029999999998
592,1981,8,16,1367.743
593,1981,8,17,1367.4660000000001
594,1981,8,18,1367.6070000000002
595,1981,8,19,1366.911
596,1981,8,20,1367.3339999999998
597,1981,8,21,1367.987
598,1981,8,22,1367.786
599,1981,8,23,1367.4720000000002
600,1981,8,24,1367.484
601,1981,8,25,1367.556
602,1981,8,26,1367.213
603,1981,8,27,1367.335
604,1981,8,28,1367.977
605,1981,8,29,1367.986
606,1981,8,30,1368.277
607,1981,8,31,1368.152
608,1981,9,1,1368.489
609,1981,9,2,1368.385
610,1981,9,3,1368.26
611,1981,9,4,1367.888
612,1981,9,5,1367.7020000000002
613,1981,9,6,1367.017
614,1981,9,7,1367.136
615,1981,9,8,1365.404
616,1981,9,9,1367.49
617,1981,9,10,1367.9279999999999
618,1981,9,11,
619,1981,9,12,1367.433
620,1981,9,13,
621,1981,9,14,1368.05
622,1981,9,15,1368.315
623,1981,9,16,1368.03
624,1981,9,17,1368.184
625,1981,9,18,1367.6170000000002
626,1981,9,19,1367.62
627,1981,9,20,1368.1960000000001
628,1981,9,21,1368.467
629,1981,9,22,1368.0339999999999
630,1981,9,23,1368.017
631,1981,9,24,1368.604
632,1981,9,25,1368.7120000000002
633,1981,9,26,1368.578
634,1981,9,27,1368.9920000000002
635,1981,9,28,1368.231
636,1981,9,29,1367.9520000000002
637,1981,9,30,1368.1770000000001
638,1981,10,1,1368.529
639,1981,10,2,1368.4170000000001
640,1981,10,3,1368.6789999999999
641,1981,10,4,1368.381
642,1981,10,5,1368.443
643,1981,10,6,1366.983
644,1981,10,7,1367.861
645,1981,10,8,1368.263
646,1981,10,9,1368.0510000000002
647,1981,10,10,1368.0720000000001
648,1981,10,11,1367.463
649,1981,10,12,1367.0120000000002
650,1981,10,13,1366.559
